timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1628490286408,4445000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490287438,72444,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490287438,96189,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490287438,756000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490288438,72497,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490288438,98257,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490288438,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490289438,72548,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490289438,84585,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490289438,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490290439,72653,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490290439,74299,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490290439,4452000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490291439,72665,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490291439,79154,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490291439,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490292440,72662,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490292440,94380,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490292440,4571000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490293440,72689,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490293440,94558,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490293440,462000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490294440,72512,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490294440,85441,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490294440,602000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490295441,71745,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490295441,86197,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490295441,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490296441,71785,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490296441,93675,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490296441,679000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490297443,71856,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490297443,97854,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490297443,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490298443,71984,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490298443,99812,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490298443,1225000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490299443,72038,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490299443,98470,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490299443,1197000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490300662,72038,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490300662,99641,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490300662,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490301687,72179,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490301687,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490301687,2499000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490302811,72320,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490302812,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490302812,1218000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490303812,72361,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490303812,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490303812,7308000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490304813,72467,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490304813,99461,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490304813,1628000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490305962,72663,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490305962,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490305962,2338000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490306962,72670,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490306962,99523,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490306962,462000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490307962,72619,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490307962,99029,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490307962,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490308964,72677,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490308964,97835,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490308964,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490309964,72653,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490309964,99812,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490309964,3493000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490311201,72733,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490311201,99843,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490311201,11046000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490312203,72877,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490312203,99790,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490312203,581000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490313230,72867,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490313230,99657,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490313230,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490314230,72957,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490314230,99580,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490314230,8687000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490315438,73035,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490315438,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490315439,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490316557,73047,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490316557,99664,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490316557,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490317558,73061,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490317558,99598,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490317558,294000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490318558,73103,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490318558,99624,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490318558,35553000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490319558,73114,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490319558,99806,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490319558,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490320561,73171,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490320561,99631,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490320561,4249000,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490321767,73289,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490321767,99472,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490321767,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490322868,73289,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490322868,99655,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490322868,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490323869,73363,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490323869,99544,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490323869,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490324869,73419,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490324869,100000,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490324869,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490325869,73455,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1628490325869,99175,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1628490325869,0,localhost Network I/O,,,,,true,,0,0,0,0,null,0,0,0
1628490326870,73533,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
